fecha,milisegundos,Nombre_episodio,razon_comienzo,razon_fin,aleatorio,saltado,idnt_episodio,idnt_comienzo,idnt_fin
2022-04-25 11:14:20+00:00,4805,SOMOS CHICAS PUENTE | La Pija y la Quinqui 1x01,trackdone,endplay,False,False,12,2,2
2022-04-26 11:43:32+00:00,1436277,"Deep Focus Music: Ambient Alpha Waves For Study, and Focus",clickrow,unexpected-exit-while-paused,False,False,29,4,5
2022-05-03 06:19:27+00:00,3728,INDIES DE MIERDA | La Pija y la Quinqui 1x14,clickrow,endplay,False,False,30,4,2
2022-05-03 21:39:20+00:00,1802005,"Música milagrosa para dormir profundamente, relajarse, meditar, paz mental",clickrow,trackdone,False,False,21,4,1
2022-05-04 06:46:22+00:00,8267,MIX ACDC DJBM,appload,endplay,False,False,25,1,2
2022-05-08 02:29:03+00:00,1802005,"Música milagrosa para dormir profundamente, relajarse, meditar, paz mental",clickrow,trackdone,False,False,21,4,1
2022-05-08 22:18:41+00:00,2900800,"Música milagrosa para dormir profundamente, relajarse, meditar, paz mental",clickrow,trackdone,False,False,21,4,1
2022-05-09 06:28:48+00:00,4906,MIX ACDC DJBM,appload,endplay,False,False,25,1,2
2022-05-10 21:50:08+00:00,1802005,"Música milagrosa para dormir profundamente, relajarse, meditar, paz mental",clickrow,trackdone,False,False,21,4,1
2022-05-11 06:39:24+00:00,14158,MIX ACDC DJBM,appload,endplay,False,False,25,1,2
2022-05-13 11:48:32+00:00,2093302,CUANDO ZARPA EL AMOR | La Pija y la Quinqui 1x15,clickrow,logout,False,False,31,4,7
2022-05-13 12:17:55+00:00,1754903,CUANDO ZARPA EL AMOR | La Pija y la Quinqui 1x15,appload,endplay,False,False,31,1,2
2022-05-14 07:30:14+00:00,1565758,INDIES DE MIERDA | La Pija y la Quinqui 1x14,clickrow,unexpected-exit-while-paused,False,False,30,4,5
2022-05-14 07:30:36+00:00,1565758,INDIES DE MIERDA | La Pija y la Quinqui 1x14,clickrow,unexpected-exit-while-paused,False,False,30,4,5
2022-05-15 21:41:00+00:00,1802005,"Música milagrosa para dormir profundamente, relajarse, meditar, paz mental",clickrow,trackdone,False,False,21,4,1
2022-05-16 05:38:28+00:00,10339,MIX ACDC DJBM,appload,endplay,False,False,25,1,2
2022-05-16 13:49:31+00:00,1903555,Música para estudiar y memorizar con todo el cerebro.,clickrow,unexpected-exit-while-paused,False,False,32,4,5
2022-05-16 14:55:42+00:00,2734871,Música para estudiar y memorizar con todo el cerebro.,appload,logout,False,False,32,1,7
2022-05-16 15:02:12+00:00,336781,Música para estudiar y memorizar con todo el cerebro.,appload,endplay,False,False,32,1,2
2022-05-17 06:28:53+00:00,2011731,AUTODESCUIDADOS | La Pija y la Quinqui 1x16,clickrow,unexpected-exit-while-paused,False,False,33,4,5
2022-05-17 06:29:06+00:00,3265,AUTODESCUIDADOS | La Pija y la Quinqui 1x16,appload,endplay,False,False,33,1,2
2022-05-17 08:57:15+00:00,533195,"Deep Focus Music: Ambient Alpha Waves For Study, and Focus",clickrow,endplay,False,False,29,4,2
2022-05-17 09:32:01+00:00,1567762,Música para estudiar y memorizar con todo el cerebro.,clickrow,endplay,False,False,32,4,2
2022-05-20 07:31:55+00:00,1892502,AUTODESCUIDADOS | La Pija y la Quinqui 1x16,clickrow,unexpected-exit-while-paused,False,False,33,4,5
2022-05-20 07:32:24+00:00,18057,AUTODESCUIDADOS | La Pija y la Quinqui 1x16,appload,endplay,False,False,33,1,2
2022-05-20 09:58:23+00:00,1045257,Música para estudiar y memorizar con todo el cerebro.,clickrow,endplay,False,False,32,4,2
2022-05-20 21:36:31+00:00,1802005,"Música milagrosa para dormir profundamente, relajarse, meditar, paz mental",clickrow,trackdone,False,False,21,4,1
2022-05-21 12:44:35+00:00,2435,MIX ACDC DJBM,appload,endplay,False,False,25,1,2
2022-05-23 16:45:28+00:00,2062890,LA SOLEDAD | La Pija y la Quinqui 1x17,clickrow,unexpected-exit-while-paused,False,False,34,4,5
2022-05-23 17:11:08+00:00,1537198,LA SOLEDAD | La Pija y la Quinqui 1x17,appload,trackdone,False,False,34,1,1
2022-05-29 07:01:04+00:00,18480,LA SOLEDAD | La Pija y la Quinqui 1x17,playbtn,logout,False,False,34,8,7
2022-05-30 10:48:06+00:00,2401967,PEQUEÑAS MENTIROSAS | La Pija y la Quinqui 1x18,clickrow,unexpected-exit-while-paused,False,False,35,4,5
2022-05-30 11:07:54+00:00,1173498,PEQUEÑAS MENTIROSAS | La Pija y la Quinqui 1x18,appload,endplay,False,False,35,1,2
2022-06-04 19:52:22+00:00,95550,Música para estudiar y memorizar con todo el cerebro.,playbtn,endplay,False,False,32,8,2
2022-06-04 22:43:08+00:00,8641,"Música milagrosa para dormir profundamente, relajarse, meditar, paz mental",clickrow,endplay,False,False,21,4,2
2022-06-04 23:24:08+00:00,2460573,Musica para dormir rápido,clickrow,trackdone,False,False,5,4,1
2022-06-05 15:05:07+00:00,556,Chuva Suave para Dormir ,trackdone,logout,False,False,6,2,7
2022-06-06 21:05:31+00:00,1806589,"Música milagrosa para dormir profundamente, relajarse, meditar, paz mental",clickrow,trackdone,False,False,21,4,1
2022-06-07 11:38:44+00:00,10725,MIX ACDC DJBM,appload,endplay,False,False,25,1,2
2022-06-07 18:22:58+00:00,1396735,DEL MONTÓN BUENO | La Pija y la Quinqui 1x19,clickrow,unexpected-exit-while-paused,False,False,36,4,5
2022-06-08 05:12:34+00:00,1463451,DEL MONTÓN BUENO | La Pija y la Quinqui 1x19,clickrow,unexpected-exit-while-paused,False,False,36,4,5
2022-06-08 05:12:51+00:00,13795,DEL MONTÓN BUENO | La Pija y la Quinqui 1x19,appload,endplay,False,False,36,1,2
2022-06-08 05:47:27+00:00,1129716,DEL MONTÓN BUENO | La Pija y la Quinqui 1x19,clickrow,trackdone,False,False,36,4,1
2022-06-08 05:47:47+00:00,2368,SOMOS CHICAS PUENTE | La Pija y la Quinqui 1x01,trackdone,endplay,False,False,12,2,2
2022-06-09 08:11:48+00:00,2320207,"Deep Focus Music: Ambient Alpha Waves For Study, and Focus",playbtn,logout,False,False,29,8,7
